X Position,Y Position,Time,_T,_X Pos,_Y Pos,,,,
-25.72663179,17.5785815,1509115959,,,,,Total Samples:,,5826
-25.71729465,17.69920763,1509115959,0.018810034,0.009337134,0.120626132,,Total X Distance:,,2271.528465
-25.70092556,17.76912817,1509115959,0.019859791,0.016369091,0.069920538,,Total Y Distance:,,2503.163501
-25.40137943,17.92443415,1509115959,0.020000219,0.299546131,0.155305986,,Total Time:,,120.9498799
-25.38786363,18.2393545,1509115959,0.019999981,0.013515801,0.314920346,,Avg Sampling Rate:,,48.16871257
-25.47106434,18.21198444,1509115959,0.022490025,0.083200708,0.027370058,,Total Distance,,4774.691967
-25.35614636,18.20119158,1509115959,0.018769979,0.114917977,0.010792854,,,,
-25.1278738,18.47661792,1509115959,0.021239996,0.228272561,0.27542634,,,,
-25.05401745,18.36682467,1509115959,0.020069838,0.073856346,0.109793254,,,,
-25.05171438,18.24219241,1509115959,0.019950151,0.002303077,0.124632262,,,,
-24.94193152,18.45239444,1509115959,0.021229982,0.109782859,0.210202035,,,,
-24.78889936,18.49265714,1509115959,0.018749952,0.153032159,0.040262699,,,,
-24.8672863,18.60442448,1509115959,0.019999981,0.078386937,0.111767338,,,,
-24.57627511,18.46337936,1509115959,0.019989967,0.291011188,0.141045116,,,,
-24.42864737,18.49235889,1509115959,0.020009995,0.147627733,0.028979522,,,,
-24.57883462,18.51936113,1509115959,0.019999981,0.150187248,0.027002242,,,,
-24.45791499,18.47401911,1509115959,0.02125001,0.120919634,0.04534202,,,,
-24.39275733,18.45120445,1509115959,0.020009995,0.065157664,0.022814658,,,,
-24.43025609,18.57838121,1509115959,0.021239996,0.037498769,0.127176763,,,,
-24.32407347,18.47049259,1509115959,0.020009995,0.106182626,0.107888622,,,,
-24.48128555,18.83918723,1509115959,0.019999981,0.157212078,0.368694636,,,,
-24.48211474,18.74645123,1509115959,0.02125001,0.00082919,0.092735997,,,,
-24.59908968,18.78856317,1509115959,0.018759966,0.116974945,0.042111941,,,,
-24.69942656,18.72801115,1509115959,0.021239996,0.100336875,0.060552017,,,,
-24.4363046,18.70050315,1509115959,0.021380186,0.263121954,0.027508001,,,,
-24.47965231,18.58887991,1509115959,0.018610001,0.043347704,0.111623238,,,,
-24.22934158,18.67441418,1509115959,0.020009995,0.250310722,0.085534264,,,,
-24.34228685,18.70887029,1509115959,0.020009995,0.112945264,0.034456115,,,,
-24.14056518,18.9241948,1509115959,0.019989967,0.201721669,0.215324502,,,,
-23.97464802,18.9158822,1509115959,0.022549868,0.165917162,0.008312597,,,,
-23.98059699,18.85258724,1509115959,0.018820047,0.005948977,0.06329496,,,,
-23.917994,18.82156881,1509115959,0.019860029,0.06260299,0.031018433,,,,
-23.75238719,18.45763982,1509115959,0.020020008,0.165606817,0.363928984,,,,
-23.35416348,18.27272533,1509115959,0.021260023,0.39822371,0.184914496,,,,
-23.65892373,18.08377155,1509115959,0.019999981,0.304760248,0.188953773,,,,
-23.49183051,17.87183578,1509115959,0.019999981,0.167093215,0.211935777,,,,
-23.79697187,17.37348679,1509115959,0.020100117,0.305141359,0.498348986,,,,
-23.67752448,17.4824098,1509115959,0.021129847,0.11944739,0.108923012,,,,
-23.72933583,17.49115355,1509115959,0.020130157,0.051811354,0.008743745,,,,
-23.919904,17.50923313,1509115959,0.018739939,0.190568163,0.018079579,,,,
