46.66828021,-35.21823407,1509041854,,,eucl,X,Y,,
45.74872545,-35.22014499,1509041854,0.919554763,0.001910912,0.401766001,1918.789372,1446.014174,3364.803546,2226.06638
44.81355258,-34.81677175,1509041854,0.935172871,0.403373232,0.707868563,,,,
45.11744886,-34.73366057,1509041854,0.303896287,0.083111188,0.762549347,,,,
44.05106651,-34.80694794,1509041854,1.066382351,0.073287372,0.755589324,,,,
42.9478843,-33.97896791,1509041854,1.103182209,0.827980023,1.175344962,,,,
43.08371394,-33.81856918,1509041854,0.135829637,0.160398731,0.374929095,,,,
42.63995112,-33.44428034,1509041854,0.443762823,0.37428884,0.210544492,,,,
42.40673278,-33.06993851,1509041854,0.233218338,0.374341836,0.410982805,,,,
42.85787159,-33.04404686,1509041854,0.451138812,0.025891649,0.437143505,,,,
42.78961959,-32.80722362,1509041854,0.068252006,0.236823242,0.433528959,,,,
42.2943996,-32.49526251,1509041854,0.495219989,0.311961112,0.289420541,,,,
41.6336258,-32.56982904,1509041854,0.660773802,0.074566536,0.182157877,,,,
42.21232287,-32.33264362,1509041854,0.578697077,0.237185426,0.321739026,,,,
41.31691429,-32.15211346,1509041854,0.895408587,0.180530152,0.636057411,,,,
41.04423752,-32.46215851,1509041854,0.272676766,0.310045049,0.457808417,,,,
41.74090055,-32.59950674,1509041854,0.696663034,0.137348229,0.209802592,,,,
41.24360595,-32.39681819,1509041854,0.497294607,0.202688553,0.200000929,,,,
40.73606125,-31.99439154,1509041854,0.5075447,0.40242665,0.312492372,,,,
41.10395508,-32.11726655,1509041854,0.367893837,0.122875011,0.147913975,,,,
41.3499992,-32.07824372,1509041854,0.246044113,0.039022827,0.018262278,,,,
41.09303504,-32.13190429,1509041854,0.256964152,0.05366057,0.263958408,,,,
40.60632197,-31.94828421,1509041854,0.486713069,0.183620087,0.395014259,,,,
40.50549979,-32.21631098,1509041854,0.100822182,0.268026772,0.04335457,,,,
40.57642983,-31.97968609,1509041854,0.070930035,0.236624889,0.061549443,,,,
40.68918743,-32.17115803,1509041855,0.112757604,0.191471944,0.013353257,,,,
40.80606214,-32.37533269,1509041855,0.11687471,0.204174656,0.285357278,,,,
40.48605047,-32.37909739,1509041855,0.320011673,0.0037647,0.173105279,,,,
40.65567117,-32.28961225,1509041855,0.169620702,0.089485139,0.131422397,,,,
40.37398643,-32.26878203,1509041855,0.28168474,0.020830219,0.315875742,,,,
40.37749799,-32.43926908,1509041855,0.003511559,0.170487047,0.25296037,,,,
40.17846175,-32.44925987,1509041855,0.199036242,0.009990794,0.210441179,,,,
40.57762682,-32.37420034,1509041855,0.399165074,0.075059532,0.289510885,,,,
40.46503766,-32.34026017,1509041855,0.112589167,0.033940167,0.190599348,,,,
40.29252609,-32.12538516,1509041855,0.172511569,0.21487501,0.26346442,,,,
40.62881699,-32.13388714,1509041855,0.336290904,0.008501974,0.039718614,,,,
40.96310547,-32.08571706,1509041855,0.334288476,0.048170079,0.30831904,,,,
40.52987444,-32.42589913,1509041855,0.433231025,0.340182069,0.137776432,,,,
39.96258046,-32.05394492,1509041855,0.567293981,0.371954212,0.215008032,,,,
40.52734174,-32.21090601,1509041855,0.564761278,0.156961097,0.315178659,,,,
40.27623553,-32.02299196,1509041855,0.25110621,0.187914058,0.290755955,,,,
40.3463461,-31.60752658,1509041855,0.070110571,0.415465379,0.349605949,,,,
40.5874462,-31.49699873,1509041855,0.241100104,0.110527845,0.331572765,,,,
40.47602605,-31.91268819,1509041855,0.111420152,0.415689456,0.399423388,,,,
40.12684916,-31.17604581,1509041855,0.349176887,0.736642377,0.281848961,,,,
40.64711745,-31.68870924,1509041855,0.52026829,0.51266343,0.569276651,,,,
39.55851444,-31.20878029,1509041855,1.088603014,0.479928946,0.334903093,,,,
40.31939124,-31.61974832,1509041855,0.760876798,0.410968026,0.730123577,,,,
40.35771823,-31.31367173,1509041855,0.038326989,0.306076591,0.192307519,,,,
40.41063809,-31.19934818,1509041855,0.052919864,0.114323547,0.200997788,,,,
40.30272438,-30.89169645,1509041855,0.107913713,0.307651733,0.124481611,,,,
40.27631709,-30.67813177,1509041855,0.026407283,0.213564681,0.17106826,,,,
40.47202079,-30.48912468,1509041855,0.195703692,0.18900709,0.117187681,,,,
40.16338222,-30.64684813,1509041855,0.30863857,0.157723454,0.139072234,,,,
40.34219021,-30.53897554,1509041855,0.178807996,0.107872594,0.230761221,,,,
39.93270151,-30.64075275,1509041855,0.4094887,0.101777211,0.296564812,,,,
40.18355806,-30.28840314,1509041855,0.250856548,0.352349611,0.522837846,,,,
39.50097427,-30.34584428,1509041855,0.682583784,0.05744114,0.30963606,,,,
39.87529777,-30.31755931,1509041855,0.374323493,0.028284968,0.111012071,,,,
40.30141183,-30.44403499,1509041855,0.426114062,0.126475684,0.175397857,,,,
39.89406817,-30.14316871,1509041855,0.407343657,0.30086628,0.365376091,,,,
39.9561499,-30.32447796,1509041855,0.062081724,0.181309242,0.084298701,,,,
40.09755673,-30.11464157,1509041855,0.141406833,0.209836389,0.830995063,,,,
39.1317112,-30.22029718,1509041855,0.965845528,0.105655617,0.534015492,,,,
39.56561213,-30.16162551,1509041855,0.43390093,0.058671674,0.232973327,,,,
39.7856183,-30.01061965,1509041855,0.220006171,0.151005864,0.159068887,,,,
39.72357072,-30.14286397,1509041855,0.062047583,0.132244329,0.271363582,,,,
39.40081257,-30.1998209,1509041855,0.32275815,0.056956921,0.111875054,,,,
39.66561554,-30.35247121,1509041855,0.264802972,0.152650311,0.125492239,,,,
40.0014504,-30.09636669,1509041855,0.335834863,0.256104516,0.049141614,,,,
40.2928036,-30.33158389,1509041855,0.291353199,0.235217204,0.289695505,,,,
40.29506354,-30.54813099,1509041855,0.00225994,0.216547097,0.134413945,,,,
40.36875482,-30.87854061,1509041855,0.073691272,0.330409616,0.285292847,,,,
40.28551481,-30.92381722,1509041855,0.083240003,0.045276612,0.235233007,,,,
40.56563499,-31.09782909,1509041856,0.280120173,0.174011867,0.157642176,,,,
40.34567465,-31.06952875,1509041856,0.21996034,0.028300337,0.141132997,,,,
40.42607508,-31.07681587,1509041856,0.080400434,0.007287117,0.36954901,,,,
40.44201345,-31.44798636,1509041856,0.015938371,0.371170496,0.068145395,,,,
40.52242489,-31.09888435,1509041856,0.080411443,0.349102014,0.104784492,,,,
40.50338375,-31.36305418,1509041856,0.019041144,0.264169828,0.532460317,,,,
39.95189817,-31.63133695,1509041856,0.551485576,0.268282777,0.11673713,,,,
40.39417367,-31.85837998,1509041856,0.442275501,0.227043027,0.159612869,,,,
40.83416143,-31.92582653,1509041856,0.439987755,0.067446553,0.216183648,,,,
40.60563813,-31.90330387,1509041856,0.228523304,0.022522664,0.439142144,,,,
41.22579772,-32.12448915,1509041856,0.620159598,0.221185283,0.589202379,,,,
41.17534696,-32.19537044,1509041856,0.050450768,0.070881283,0.208118881,,,,
41.27791999,-32.46773804,1509041856,0.102573034,0.272367604,0.213349018,,,,
41.30073313,-32.54222648,1509041856,0.022813141,0.074488442,0.486258837,,,,
41.0785993,-33.06024499,1509041856,0.222133834,0.518018506,0.569847719,,,,
41.60726242,-33.09788217,1509041856,0.528663119,0.037637178,0.564037333,,,,
41.65203584,-33.42532769,1509041856,0.044773427,0.327445527,0.229315305,,,,
41.37852319,-33.73652889,1509041856,0.273512648,0.311201202,0.290169977,,,,
41.77355328,-33.68882746,1509041856,0.395030087,0.047701434,0.224989788,,,,
41.58706787,-33.8209654,1509041856,0.186485414,0.132137944,0.191610343,,,,
41.60730842,-33.85782917,1509041856,0.02024055,0.036863767,0.127173867,,,,
41.4680976,-33.9396292,1509041856,0.139210819,0.081800026,0.312522779,,,,
41.85356378,-34.21385787,1509041856,0.385466185,0.274228669,0.239107205,,,,
42.0035054,-34.44685023,1509041856,0.149941616,0.232992365,0.668520883,,,,
41.34303723,-35.11144752,1509041856,0.660468168,0.664597289,0.56551875,,,,
41.54783396,-35.44111945,1509041856,0.204796727,0.329671933,0.296501791,,,,
41.63667988,-36.04368096,1509041856,0.088845917,0.602561511,0.410770319,,,,
41.16149126,-36.50670189,1509041856,0.475188616,0.463020929,0.175462628,,,,
40.83628124,-36.87865388,1509041856,0.325210016,0.371951982,0.429803136,,,,
40.25358647,-36.90646587,1509041856,0.582694778,0.027811992,0.264192173,,,,
39.93443067,-36.95284421,1509041856,0.319155797,0.046378348,0.129336813,,,,
39.74006605,-36.96523472,1509041856,0.19436462,0.012390505,0.098845384,,,,
39.44709553,-36.98450175,1509041856,0.292970519,0.019267028,0.299929665,,,,
39.55449182,-37.23939562,1509041856,0.107396295,0.254893875,0.350674476,,,,
39.19258866,-37.25304513,1509041856,0.36190316,0.01364951,0.373053428,,,,
39.20659951,-37.40137872,1509041856,0.014010848,0.148333583,0.090154783,,,,
