FileName, Total X, Total Y, Total D, Total T, Eucl Distance,,, Samples
21-B,2890.307021,2182.924501,5073.231521,120.9661481,3971.825989,,,5795
21-C-control,3370.986267,2588.39888,5959.385147,109.6185119,4569.086894,,,5109
21-C,8149.309939,4338.151055,12487.46099,120.9636841,9599.239387,,,5518
22-A-control,3846.801112,2696.641017,6543.442129,120.9749959,4850.785544,,,5365
22-A,1781.391713,1664.417764,3445.809477,120.969866,2628.311933,,,5548
22-B-control,1000.849072,853.3598322,1854.208904,120.964747,1467.926286,,,5815
22-B,1593.369734,1590.994593,3184.364327,120.9597862,2480.529171,,,5600
22-C-control,2162.292735,1659.063623,3821.356359,120.9562788,2874.143516,,,5642
22-C,1502.025358,1755.280954,3257.306312,120.9449751,2519.19237,,,5534
23-A-control,2137.166757,2031.178491,4168.345249,120.973598,3281.814589,,,5815
23-A,1789.283711,2413.306359,4202.59007,120.9586151,3334.171933,,,5738
23-B-control,5396.330825,2853.156622,8249.487447,120.9686821,6523.014953,,,5648
23-B,1779.685698,2652.438001,4432.123699,120.9736109,3528.170932,,,5784
23-C-control,1749.199315,1554.79888,3303.998195,120.9674008,2604.238844,,,5616
23-C,4420.877942,7638.047926,12058.92587,120.9535921,9805.294315,,,5687
24-A-control,857.2457129,1229.205,2086.450713,120.9674549,1659.227224,,,5730
24-A,861.0563286,1509.622897,2370.679226,120.968574,1908.728273,,,5781
24-B-control,863.5122071,1234.708668,2098.220875,120.9873919,1669.768658,,,5489
24-B,801.5968459,1394.516518,2196.113364,120.966222,1768.277288,,,5495
24-C-control,1622.479837,1565.821144,3188.300981,120.9587109,2427.785589,,,5756
24-C,1018.622412,1854.665961,2873.288373,120.946115,2320.126725,,,5597
25-A-control,2338.469078,1757.918337,4096.387415,120.979934,3094.816909,,,5445
25-A,2497.932393,2361.207989,4859.140382,120.939904,3657.615574,,,5571
25-B-control,3362.009625,2473.119395,5835.12902,120.971272,4337.96553,,,5855
25-B,2347.009874,1910.673044,4257.682918,120.9661138,3230.228885,,,5671
25-C-control,959.7920789,871.0071977,1830.799277,120.973536,1442.962953,,,5291
25-C,1165.447373,1391.219488,2556.666861,120.973711,2032.708063,,,5497
26-A-control,1433.208375,1276.624657,2709.833032,120.976203,2141.498015,,,5778
26-A,1635.100876,2417.703735,4052.804611,120.9662468,3222.449847,,,5615
26-B-control,1313.803766,990.3312773,2304.135043,120.9861729,1823.096673,,,5585
26-B,2532.645338,5670.184912,8202.83025,120.9497881,6769.324906,,,5731
26-C-control,1790.176569,1340.527472,3130.70404,120.967485,2428.570952,,,5768
26-C,3002.740537,4183.213169,7185.953706,120.962039,5732.484118,,,5795
3-A-control,1872.797536,1266.797559,3139.595095,120.9610879,2474.421183,,,5749
3-A,3349.012335,2129.266065,5478.2784,120.9812701,4206.180459,,,5731
3-B-control,1744.687652,1345.039517,3089.727169,120.977371,2445.262776,,,5641
3-B,2501.356996,2716.457763,5217.814758,120.9499462,4058.651744,,,5724
3-C-control,6361.322201,3389.363048,9750.685248,120.977329,7443.214258,,,5772
3-C,4113.507559,2873.500992,6987.008551,120.9573231,5374.756807,,,5631
