X Position,Y Position,Time,_T,_X Pos,_Y Pos,,,,
-30.17747466,-32.63595015,1509735518,,,,,Total Samples:,,5553
-30.86756545,-32.47228229,1509735518,0.018700123,0.69009079,0.16366786,,Total X Distance:,,1942.433541
-30.92779911,-32.42455381,1509735518,0.023880005,0.06023366,0.04772848,,Total Y Distance:,,1617.923797
-30.86822206,-32.23636069,1509735518,0.027400017,0.05957705,0.18819312,,Total Time:,,120.9523703
-30.946029,-32.31968218,1509735518,0.022599936,0.07780694,0.08332149,,Avg Sampling Rate:,,45.91063396
-30.53272127,-32.30184716,1509735518,0.018630028,0.41330773,0.01783502,,Total Distance,,3560.357338
-30.52557175,-31.8207446,1509735518,0.02373004,0.00714952,0.48110256,,,,
-30.95206424,-31.59285822,1509735518,0.026269913,0.42649249,0.22788638,,,,
-30.76701225,-31.19738505,1509735518,0.021369934,0.18505199,0.39547317,,,,
-30.50156385,-31.26103631,1509735518,0.019999981,0.2654484,0.06365126,,,,
-30.41889976,-30.6026215,1509735519,0.032400131,0.08266409,0.65841481,,,,
-30.4403738,-30.17089115,1509735519,0.019959927,0.02147404,0.43173035,,,,
-30.0691735,-29.86651662,1509735519,0.029999971,0.3712003,0.30437453,,,,
-29.66705812,-29.53519379,1509735519,0.019999981,0.40211538,0.33132283,,,,
-29.40590952,-28.96308394,1509735519,0.02876997,0.2611486,0.57210985,,,,
-29.31856598,-28.82239571,1509735519,0.021229982,0.08734354,0.14068823,,,,
-29.26852774,-28.82781875,1509735519,0.03000021,0.05003824,0.00542304,,,,
-29.12157594,-28.70078974,1509735519,0.023749828,0.1469518,0.12702901,,,,
-29.26179038,-28.26324396,1509735519,0.020140171,0.14021444,0.43754578,,,,
-29.26179038,-28.26324396,1509735519,0.017369986,0,0,,,,
-28.51000303,-28.0336633,1509735519,0.023749828,0.75178735,0.22958066,,,,
-28.5944181,-28.05325719,1509735519,0.028750181,0.08441507,0.01959389,,,,
-29.09717798,-27.86424157,1509735519,0.018869877,0.50275988,0.18901562,,,,
-28.75201716,-27.88951457,1509735519,0.025000095,0.34516082,0.025273,,,,
-28.47670144,-27.74522095,1509735519,0.027390003,0.27531572,0.14429362,,,,
-27.96473515,-27.69600701,1509735519,0.020030022,0.51196629,0.04921394,,,,
-27.79677855,-28.17719983,1509735519,0.019999981,0.1679566,0.48119282,,,,
-28.31021476,-28.03273049,1509735519,0.026249886,0.51343621,0.14446934,,,,
-27.34299162,-27.90287071,1509735519,0.026380062,0.96722314,0.12985978,,,,
-26.81024189,-27.53577104,1509735519,0.022360086,0.53274973,0.36709967,,,,
-26.80881756,-27.40220868,1509735519,0.026379824,0.00142433,0.13356236,,,,
-26.80168608,-26.92314567,1509735519,0.021239996,0.00713148,0.47906301,,,,
-26.818308,-26.55257053,1509735519,0.030019999,0.01662192,0.37057514,,,,
-26.53071338,-26.48301071,1509735519,0.022350073,0.28759462,0.06955982,,,,
-26.57415005,-26.20412657,1509735519,0.026390076,0.04343667,0.27888414,,,,
-26.63101559,-25.85235052,1509735519,0.022500038,0.05686554,0.35177605,,,,
-26.41390612,-25.81510094,1509735519,0.018749952,0.21710947,0.03724958,,,,
-26.23786936,-25.57627674,1509735519,0.022369862,0.17603676,0.2388242,,,,
-26.65573838,-25.73916104,1509735519,0.018970013,0.41786902,0.1628843,,,,
-25.87598438,-25.56098901,1509735519,0.021130085,0.779754,0.17817203,,,,
-26.18912764,-25.72766688,1509735519,0.018749952,0.31314326,0.16667787,,,,
-26.31805652,-25.82753218,1509735519,0.022530079,0.12892888,0.0998653,,,,
-25.80121084,-26.04859976,1509735519,0.028729916,0.51684568,0.22106758,,,,
-25.5079067,-26.66881642,1509735519,0.028739929,0.29330414,0.62021666,,,,
-25.81774473,-26.74253876,1509735519,0.02128005,0.30983803,0.07372234,,,,
-25.25938638,-27.47886833,1509735519,0.022490025,0.55835835,0.73632957,,,,
-25.24816432,-27.90495924,1509735519,0.028779984,0.01122206,0.42609091,,,,
-25.69869968,-27.99926765,1509735519,0.018739939,0.45053536,0.09430841,,,,
-25.5367657,-27.71725764,1509735519,0.022580147,0.16193398,0.28201001,,,,
-26.18930015,-28.11447274,1509735519,0.021199942,0.65253445,0.3972151,,,,
-25.84116811,-28.12714812,1509735519,0.021209955,0.34813204,0.01267538,,,,
-26.02851738,-28.32807058,1509735519,0.018840075,0.18734927,0.20092246,,,,
-25.91379276,-28.33081784,1509735520,0.021159887,0.11472462,0.00274726,,,,
-25.58139203,-28.43653647,1509735520,0.017490149,0.33240073,0.10571863,,,,
-26.4040067,-28.61824407,1509735520,0.021260023,0.82261467,0.1817076,,,,
-26.31265537,-28.93931056,1509735520,0.019989967,0.09135133,0.32106649,,,,
-25.96509807,-28.66442323,1509735520,0.02128005,0.3475573,0.27488733,,,,
-26.34759606,-28.64995024,1509735520,0.01996994,0.38249799,0.01447299,,,,
-26.00659817,-28.99920293,1509735520,0.018820047,0.34099789,0.34925269,,,,
-26.24363939,-29.12195481,1509735520,0.019939899,0.23704122,0.12275188,,,,
