X Position,Y Position,Time,_T,_X Pos,_Y Pos,,,,
-22.57630875,-30.68720024,1509735229,,,,,Total Samples:,,5787
-22.2141196,-30.53596534,1509735229,0.018730164,0.362189151,0.1512349,,Total X Distance:,,6051.478712
-23.08448407,-30.26768446,1509735229,0.018759966,0.870364466,0.268280876,,Total Y Distance:,,2793.457114
-23.19372247,-29.79075522,1509735229,0.021239996,0.109238403,0.476929244,,Total Time:,,120.9723101
-23.3414034,-29.37421403,1509735229,0.021379948,0.147680925,0.416541192,,Avg Sampling Rate:,,47.83739351
-23.33033164,-28.75794994,1509735229,0.019979954,0.011071754,0.616264087,,Total Distance,,8844.935827
-23.19153087,-28.40818188,1509735229,0.019950151,0.138800778,0.349768057,,,,
-23.72264732,-28.25786916,1509735229,0.020030022,0.53111645,0.150312716,,,,
-23.97046716,-27.85648093,1509735229,0.021149874,0.247819839,0.40138823,,,,
-24.05077002,-27.63137024,1509735229,0.018870115,0.08030286,0.22511069,,,,
-24.72804526,-27.56342013,1509735229,0.021109819,0.677275247,0.067950118,,,,
-24.59428728,-27.36414054,1509735229,0.02125001,0.133757984,0.19927959,,,,
-24.83574163,-26.86578089,1509735229,0.020090103,0.241454355,0.498359647,,,,
-24.72326669,-26.70801339,1509735229,0.019870043,0.112474942,0.157767497,,,,
-25.38341521,-26.10579149,1509735229,0.019989967,0.660148522,0.602221899,,,,
-25.5301248,-26.04167817,1509735229,0.04005003,0.14670959,0.064113323,,,,
-26.08572463,-25.03699764,1509735229,0.022650003,0.55559983,1.004680527,,,,
-26.27203967,-25.03056612,1509735229,0.021119833,0.186315035,0.006431519,,,,
-26.66664354,-25.06013778,1509735229,0.019980192,0.394603867,0.029571652,,,,
-26.51649984,-24.84290137,1509735229,0.018829823,0.150143695,0.217236406,,,,
-26.74069077,-24.79506865,1509735229,0.022390127,0.224190926,0.047832718,,,,
-26.90340263,-24.75478716,1509735229,0.018729925,0.162711861,0.040281496,,,,
-26.72926245,-24.68681708,1509735229,0.021270037,0.174140181,0.067970072,,,,
-27.1106511,-24.32695373,1509735229,0.019979954,0.381388654,0.359863353,,,,
-27.56064014,-24.14770957,1509735229,0.021389961,0.44998904,0.179244164,,,,
-27.36643097,-23.70889624,1509735229,0.019860029,0.194209167,0.438813325,,,,
-27.69399596,-23.48196338,1509735229,0.021399975,0.327564983,0.226932862,,,,
-27.56784997,-23.29914301,1509735229,0.018599987,0.126145982,0.182820376,,,,
-27.67456789,-23.03719718,1509735229,0.021420002,0.10671792,0.261945828,,,,
