-0.007955264,-19.8555907782,1506365255.4243,Time Diff,X dist,Y dist
-6.8098187742,-16.5956297624,1506365258.29187,0.0199968815,1.0892026174,0.9707250986
-6.2639060453,-17.2589114378,1506365258.3131,0.0212349892,0.5459127289,0.6632816754
-5.6390549765,-17.7679880279,1506365258.33185,0.0187439919,0.6248510688,0.5090765901
-5.1268192323,-18.1573283966,1506365258.3531,0.021253109,0.5122357443,0.3893403687
-4.2339484676,-18.7275440955,1506365258.3731,0.0200009346,0.8928707647,0.5702156989
-3.0796432316,-20.1786950644,1506365258.39307,0.0199639797,1.154305236,1.4511509689
-2.4922307713,-21.1613026161,1506365258.41429,0.0212271214,0.5874124603,0.9826075518
-1.8276324449,-21.6404130646,1506365258.43311,0.0188179016,0.6645983264,0.4791104485
-1.7190857067,-22.1915554358,1506365258.45311,0.0199990273,0.1085467382,0.5511423711
-1.9390354247,-23.2590268194,1506365258.47305,0.0199389458,0.2199497181,1.0674713836
-2.4618264272,-24.3364957265,1506365258.49556,0.0225141048,0.5227910024,1.0774689071
-3.4135523,-25.4399908412,1506365258.51431,0.0187518597,0.9517258728,1.1034951147
-4.3517649536,-26.3891371743,1506365258.53431,0.0199990273,0.9382126536,0.9491463332
-4.5383024286,-25.3465989421,1506365258.55432,0.020001173,0.186537475,1.0425382322
-4.3591502492,-24.3861752299,1506365258.57432,0.0200009346,0.1791521795,0.9604237122
-4.5157303347,-23.9299519078,1506365258.59556,0.0212469101,0.1565800855,0.4562233221
-4.3262441209,-23.0155830845,1506365258.61556,0.0199961662,0.1894862138,0.9143688233
-3.6209028171,-21.1555314765,1506365258.63566,0.0201029778,0.7053413038,1.860051608
-3.9131997483,-20.4379919335,1506365258.65556,0.0199010372,0.2922969312,0.717539543
-4.0168554489,-20.2433624517,1506365258.67682,0.021258831,0.1036557006,0.1946294818
-3.9289959591,-20.0626685343,1506365258.69682,0.0199980736,0.0878594898,0.1806939174
-4.2538489474,-20.3707341156,1506365258.72682,0.0300030708,0.3248529882,0.3080655814
-4.7622093623,-20.9528872655,1506365258.74682,0.0199940205,0.5083604149,0.5821531499
-5.1601873491,-21.1962794583,1506365258.76683,0.0200128555,0.3979779868,0.2433921928
-5.4774948539,-21.519148064,1506365258.78807,0.0212359428,0.3173075048,0.3228686057
-5.9283085522,-21.8260841387,1506365258.80806,0.0199961662,0.4508136983,0.3069360747
-6.7944361627,-23.0450610153,1506365258.82807,0.020004034,0.8661276105,1.2189768767
-7.2853962253,-23.3451362786,1506365258.84806,0.0199959278,0.4909600625,0.3000752633
-7.3633326131,-23.7140372203,1506365258.86932,0.0212619305,0.0779363878,0.3689009417
-7.7049407659,-24.2477362852,1506365258.88932,0.0199999809,0.3416081528,0.5336990649
-7.6118308127,-24.4366856632,1506365258.90931,0.0199890137,0.0931099532,0.188949378
-7.9883633275,-24.5792203591,1506365258.93307,0.0237579346,0.3765325148,0.1425346958
-8.3235140902,-24.687078761,1506365258.95182,0.0187540054,0.3351507627,0.1078584019
-8.1760450155,-24.9194133689,1506365258.97059,0.0187680721,0.1474690747,0.2323346079
-8.504607149,-24.6476525217,1506365258.99057,0.0199780464,0.3285621336,0.2717608472
-8.0174797163,-24.576686408,1506365259.01554,0.0249669552,0.4871274328,0.0709661137
-8.193700954,-24.0807314532,1506365259.04185,0.0263080597,0.1762212377,0.4959549548
-8.0768530897,-23.9016930622,1506365259.06188,0.020029068,0.1168478643,0.1790383911
-8.1453664563,-24.0296463939,1506365259.07934,0.0174689293,0.0685133666,0.1279533318
-8.4801475257,-23.5087650584,1506365259.10183,0.0224819183,0.3347810694,0.5208813356
-8.4618136331,-23.4549574458,1506365259.12306,0.0212349892,0.0183338926,0.0538076126
-8.163107066,-23.1706336966,1506365259.14306,0.0200021267,0.2987065671,0.2843237493
-8.0265761143,-23.1333968985,1506365259.16317,0.0201089382,0.1365309517,0.037236798
-8.3679238538,-22.98231415,1506365259.18306,0.0198888779,0.3413477395,0.1510827486
-7.6737389558,-22.9780386971,1506365259.20306,0.0199971199,0.694184898,0.0042754529
-7.416417222,-22.8603987904,1506365259.22431,0.0212569237,0.2573217338,0.1176399067
-7.5790301062,-22.9402150119,1506365259.24558,0.0212621689,0.1626128841,0.0798162216
-7.1601885402,-22.7693994298,1506365259.26431,0.0187349319,0.418841566,0.1708155821
-7.1655351074,-22.5116774294,1506365259.28556,0.0212490559,0.0053465673,0.2577220004
-6.761715864,-22.5228446256,1506365259.30432,0.0187568665,0.4038192435,0.0111671962
-6.726613751,-22.2689477781,1506365259.32681,0.0224919319,0.035102113,0.2538968475
-6.8206836583,-22.2695262041,1506365259.34557,0.0187580585,0.0940699073,0.000578426
-6.5163493666,-22.216025034,1506365259.36557,0.0199990273,0.3043342917,0.0535011701
-6.4293749506,-22.1636454964,1506365259.38557,0.0200009346,0.0869744159,0.0523795376
-6.1038185813,-22.5439449581,1506365259.40557,0.0200030804,0.3255563693,0.3802994617
-5.8006070474,-22.6834544594,1506365259.42807,0.0225000381,0.3032115339,0.1395095013
-4.6575164704,-23.2425451456,1506365259.44681,0.0187370777,1.143090577,0.5590906862
-4.4870806457,-23.43138017,1506365259.46681,0.0200028419,0.1704358248,0.1888350244
-4.322629613,-23.0060604004,1506365259.49681,0.0299999714,0.1644510327,0.4253197696
-4.1516274391,-22.7581356362,1506365259.5168,0.01998806,0.1710021739,0.2479247642
-4.6408746261,-22.3955381079,1506365259.53807,0.0212659836,0.4892471869,0.3625975283
-5.4838127525,-21.1660326149,1506365259.56807,0.0300009251,0.8429381265,1.2295054931
-5.5702698033,-20.5270438233,1506365259.58808,0.0200102329,0.0864570508,0.6389887915
-6.8677932315,-19.5659680674,1506365259.60933,0.0212519169,1.2975234282,0.9610757559
-7.4338964314,-19.0762212222,1506365259.62935,0.0200269222,0.5661031999,0.4897468451
-7.7901404111,-18.8882573387,1506365259.64938,0.0200259686,0.3562439798,0.1879638835
-8.2903951069,-18.6651301126,1506365259.66935,0.0199689865,0.5002546957,0.2231272261
-9.1845078574,-19.0639093529,1506365259.68932,0.0199701786,0.8941127505,0.3987792403
-9.3619237374,-19.1551352663,1506365259.70935,0.020031929,0.17741588,0.0912259135
-9.5327141787,-19.3183406547,1506365259.73174,0.022384882,0.1707904413,0.1632053884
-10.1121851746,-19.433926028,1506365259.75193,0.0201950073,0.5794709959,0.1155853733
-10.3590246788,-19.8277834431,1506365259.77062,0.0186831951,0.2468395041,0.3938574151
-10.7432722783,-20.0895966457,1506365259.79062,0.0200009346,0.3842475995,0.2618132026
-10.366036839,-20.6582603866,1506365259.81682,0.0262000561,0.3772354393,0.5686637409
-11.2010706049,-21.7147450639,1506365259.84313,0.0263140202,0.8350337659,1.0564846773
-11.3981151956,-22.3267343746,1506365259.86192,0.018791914,0.1970445907,0.6119893107
-11.2726567232,-23.3145216026,1506365259.88178,0.0198559761,0.1254584724,0.987787228
-11.540979989,-24.5248529652,1506365259.90311,0.0213329792,0.2683232658,1.2103313626
-11.8621621407,-25.0475924437,1506365259.92314,0.0200250149,0.3211821517,0.5227394786
-12.0151874191,-25.5094175369,1506365259.95312,0.0299839973,0.1530252785,0.4618250932
-12.1200488837,-25.5687847231,1506365259.97308,0.0199611187,0.1048614645,0.0593671862
-12.6486375939,-25.5460031167,1506365259.99434,0.0212619305,0.5285887102,0.0227816064
-13.2666632097,-25.5221793028,1506365260.01434,0.0199999809,0.6180256158,0.0238238139
-13.0492286635,-25.3100461069,1506365260.03686,0.0225150585,0.2174345462,0.2121331959
-13.0744603963,-25.2663323193,1506365260.05813,0.0212669373,0.0252317328,0.0437137876
-13.1688240782,-24.871288162,1506365260.07687,0.0187470913,0.0943636819,0.3950441573
-12.8838323878,-24.3299314185,1506365260.09936,0.0224888325,0.2849916904,0.5413567435
-12.8820494963,-23.7539143993,1506365260.1181,0.0187399387,0.0017828915,0.5760170192
-12.731254446,-23.3242560555,1506365260.13685,0.0187530518,0.1507950503,0.4296583438
-12.774169753,-22.6578948201,1506365260.15684,0.0199890137,0.042915307,0.6663612354
-13.0680178554,-21.7436178758,1506365260.17688,0.0200350285,0.2938481024,0.9142769442
-13.0330050333,-21.3369059835,1506365260.19681,0.019931078,0.0350128221,0.4067118923
-13.26409521,-20.6988194288,1506365260.21683,0.0200219154,0.2310901767,0.6380865547
-12.9090984878,-20.4035046969,1506365260.23805,0.0212180614,0.3549967222,0.2953147319
-13.0629203061,-19.726363717,1506365260.26804,0.0299909115,0.1538218183,0.6771409799
-12.8972708186,-19.5138526626,1506365260.28804,0.0199980736,0.1656494874,0.2125110544
-12.4269147475,-19.1395826985,1506365260.30929,0.0212509632,0.4703560712,0.3742699641
-12.7425080223,-18.662984285,1506365260.33181,0.0225160122,0.3155932748,0.4765984135
-12.2653940035,-18.5837516972,1506365260.37054,0.0387370586,0.4771140188,0.0792325878
-11.9298957601,-17.9953215873,1506365260.40057,0.0300240517,0.3354982434,0.5884301099
-11.5207922314,-17.6960843407,1506365260.42192,0.0213530064,0.4091035288,0.2992372466
-11.3302743974,-17.3110253547,1506365260.44055,0.0186269283,0.190517834,0.385058986
-10.7605087825,-16.6714632187,1506365260.47055,0.0300059319,0.5697656149,0.639562136
-10.4478013795,-16.5796905427,1506365260.4918,0.0212440491,0.3127074029,0.091772676
-10.1167438362,-16.1310618556,1506365260.5118,0.0200049877,0.3310575433,0.4486286871
-9.2465794623,-15.9598694757,1506365260.53179,0.0199899673,0.8701643739,0.1711923799
-9.2019328058,-15.3738931511,1506365260.5518,0.0200099945,0.0446466565,0.5859763246
-9.1982998116,-14.9863868851,1506365260.57305,0.0212509632,0.0036329942,0.387506266
-8.6538314953,-14.5517809436,1506365260.5943,0.0212471485,0.5444683163,0.4346059416
-8.5505632371,-13.8972979111,1506365260.61305,0.0187528133,0.1032682582,0.6544830325
-7.6376386626,-12.8455726164,1506365260.6343,0.0212512016,0.9129245745,1.0517252947
-7.689730704,-12.8182727535,1506365260.65307,0.01876688,0.0520920414,0.0272998629
-7.4309988463,-12.5675571628,1506365260.67429,0.0212240219,0.2587318577,0.2507155907
-7.1173264655,-12.3386871617,1506365260.69555,0.0212519169,0.3136723808,0.2288700012
-7.1147174385,-12.4165488762,1506365260.7143,0.0187530518,0.002609027,0.0778617146
-6.9110053717,-12.0382446653,1506365260.73683,0.0225310326,0.2037120668,0.3783042109
-6.87535972,-11.9798564539,1506365260.75551,0.0186800957,0.0356456517,0.0583882114
-6.9105697231,-12.1723947105,1506365260.7768,0.0212910175,0.0352100031,0.1925382566
-6.7057321038,-12.1161799467,1506365260.79682,0.020018816,0.2048376193,0.0562147638
-6.7756289497,-12.2272817027,1506365260.81558,0.0187580585,0.069896846,0.111101756
-6.8444978059,-12.3654917535,1506365260.83682,0.0212450027,0.0688688561,0.1382100508
-7.1735171295,-12.6726728668,1506365260.87054,0.0337181091,0.3290193236,0.3071811133
-7.1908171234,-12.8909907486,1506365260.88931,0.0187649727,0.0172999939,0.2183178818
-7.0971694438,-13.1476505271,1506365260.90805,0.0187408924,0.0936476796,0.2566597785
-7.1291083996,-13.3626510115,1506365260.9293,0.0212509632,0.0319389558,0.2150004843
-7.3047871469,-13.3442592458,1506365260.94804,0.0187461376,0.1756787473,0.0183917657
-7.4240109052,-13.4542160018,1506365260.96805,0.020004034,0.1192237584,0.109956756
-7.7212693425,-13.9872705193,1506365261.00056,0.0325148106,0.2972584373,0.5330545175
-8.1670178474,-13.967438552,1506365261.01943,0.0188660622,0.4457485049,0.0198319672
-8.0408133545,-14.3925262883,1506365261.03938,0.019949913,0.1262044929,0.4250877363
-8.3477913044,-14.4451914909,1506365261.06055,0.0211701393,0.3069779499,0.0526652026
-8.1537521515,-14.6254521586,1506365261.0818,0.0212500095,0.1940391529,0.1802606677
-8.3015311635,-14.9438445046,1506365261.10179,0.0199940205,0.1477790119,0.318392346
-8.299155824,-14.8053002377,1506365261.12179,0.0199999809,0.0023753395,0.1385442669
-8.4520448345,-14.9423927747,1506365261.14053,0.0187349319,0.1528890106,0.1370925371
-8.8469768198,-15.0555790325,1506365261.16305,0.0225191116,0.3949319853,0.1131862577
-8.7411282556,-15.2945342283,1506365261.18305,0.0200028419,0.1058485642,0.2389551959
-8.6105572341,-15.5756079263,1506365261.20303,0.0199820995,0.1305710215,0.281073698
-8.72082842,-16.0223275661,1506365261.2218,0.0187699795,0.1102711859,0.4467196398
-8.7059202128,-16.1346364513,1506365261.24178,0.0199730396,0.0149082072,0.1123088851
-8.5384979366,-16.5410861531,1506365261.26305,0.0212788582,0.1674222762,0.4064497018
-8.7765781066,-17.1963996926,1506365261.28306,0.020001173,0.23808017,0.6553135395
-8.5864342747,-17.5675113482,1506365261.30306,0.0200009346,0.1901438319,0.3711116556
-8.4669922682,-17.9481292631,1506365261.32305,0.0199890137,0.1194420065,0.3806179149
-8.3984718102,-18.6828967725,1506365261.34443,0.0213820934,0.068520458,0.7347675094
-8.091093541,-19.03754072,1506365261.36556,0.0211369991,0.3073782692,0.3546439475
-7.9135261985,-19.4610097567,1506365261.38436,0.0187969208,0.1775673424,0.4234690367
-7.9333127823,-19.6561724819,1506365261.40924,0.0248770714,0.0197865837,0.1951627252
-7.6519353954,-20.1289683698,1506365261.43556,0.026321888,0.2813773868,0.4727958879
-7.2135998989,-20.0779568726,1506365261.45566,0.020097971,0.4383354965,0.0510114972
-6.8114634391,-20.0337363242,1506365261.47693,0.0212709904,0.4021364598,0.0442205483
-6.4834287943,-20.1401099132,1506365261.49818,0.0212500095,0.3280346449,0.1063735889
-6.5339379413,-20.1670061381,1506365261.51694,0.018764019,0.050509147,0.0268962249
-6.267059189,-20.1080804845,1506365261.53943,0.0224869251,0.2668787522,0.0589256536
-6.1778266375,-20.4140964411,1506365261.55818,0.0187451839,0.0892325516,0.3060159566
-5.9091426019,-20.7254235728,1506365261.57818,0.0200018883,0.2686840356,0.3113271317
-5.7215302351,-20.9859705876,1506365261.60943,0.03125,0.1876123668,0.2605470148
-5.5206595097,-21.3174500015,1506365261.63812,0.0286970139,0.2008707254,0.3314794139
-5.4799920538,-21.7976149649,1506365261.65943,0.021310091,0.0406674559,0.4801649635
-5.4739773874,-22.2657520938,1506365261.67942,0.0199818611,0.0060146664,0.4681371288
-5.6502728027,-22.1102042784,1506365261.70942,0.0299999714,0.1762954154,0.1555478154
-5.7979664284,-22.2254244555,1506365261.74067,0.0312561989,0.1476936256,0.1152201771
-5.9657002617,-22.1728304134,1506365261.76179,0.021119833,0.1677338333,0.0525940421
-6.0049780476,-22.3220027323,1506365261.78317,0.0213780403,0.0392777859,0.1491723189
-6.4416978504,-22.4154498351,1506365261.81193,0.0287640095,0.4367198028,0.0934471028
-6.9900327732,-22.4853552379,1506365261.83193,0.0199959278,0.5483349228,0.0699054027
-6.9527895665,-22.2987953616,1506365261.85317,0.0212371349,0.0372432067,0.1865598762
-7.0316576855,-22.1592624971,1506365261.8832,0.0300350189,0.078868119,0.1395328646
-7.0180008945,-22.0396587393,1506365261.90566,0.0224618912,0.0136567911,0.1196037578
-7.2339789406,-21.94112547,1506365261.92442,0.0187520981,0.2159780461,0.0985332693
-7.4546005009,-21.9599741,1506365261.94569,0.0212728977,0.2206215604,0.0188486299
-7.399814473,-21.8366722377,1506365261.96692,0.0212321281,0.0547860279,0.1233018622
-8.080733097,-21.9691014538,1506365261.99568,0.0287578106,0.6809186239,0.1324292161
-8.4196970363,-21.8119655963,1506365262.02571,0.0300321579,0.3389639393,0.1571358575
-8.3018267239,-21.7678956554,1506365262.04805,0.0223379135,0.1178703124,0.0440699409
-8.8112976765,-21.8207741771,1506365262.07692,0.0288670063,0.5094709525,0.0528785218
-9.2211334323,-22.0398945177,1506365262.09817,0.0212490559,0.4098357559,0.2191203406
