25-A-control-out,1127.5164692223873,1115.610492462194,1773.939670315985
25-A-out,1093.9288590751278,1100.7840752385925,1734.970328890241
25-B-control-out,1001.8805605298493,824.1133307684327,1439.1188390174027
25-B-out,1373.905051865161,1268.7003570333877,2047.9899159483787
25-C-control-out,1374.0582069465613,1102.0310115614798,1963.6052761898484
25-C-out,1234.0910960842027,1091.9735426799045,1819.5343340524348
26-A-control-out,1558.1615024418347,1439.4379525992058,2355.635147610429
26-A-out,1554.4947942426115,1699.5393974761323,2564.012590212783
26-B-control-out,1572.0204825128671,1270.986622629137,2242.135965247619
26-B-out,2182.1665104463614,1663.390775610384,2979.6512429759096
26-C-control-out,1411.5455046016407,1375.020795827156,2202.254159448653
26-C-out,1590.3439537558343,1683.014978190988,2578.561409786026
27-A-control-out,1626.669738570683,1313.9478370412467,2320.40528093149
27-A-out,1469.040896199103,1188.3606850173608,2092.001954006134
27-B-control-out,1941.1743433509353,1455.1475573992368,2647.628108819738
27-B-out,1524.344103540246,1209.2630408889036,2158.5971966435613
27-C-control-out,1476.7146928508812,1259.1320626585514,2154.4052428897535
27-C-out,1782.0600697755863,1348.395376290388,2462.8454006281604
28-A-control-out,1321.2916876836941,997.6091238994787,1825.405164899991
28-A-out,1660.3511810104717,1175.900701727659,2203.950945533
28-B-control-out,1377.7027826578476,1422.7302712753253,2227.5152682977046
28-B-out,2063.5265010496196,1496.3431067098072,2766.608057832542
28-C-control-out,1585.5506084306191,1177.8124690017196,2150.852459419235
28-C-out,1133.0938777112362,1036.9103750649851,1719.0446692376145
29-A-control-out,1337.0122309647002,986.5216562588374,1840.0917228572116
29-A-out,1408.2987361618739,1229.0302720716727,2086.0733700620117
29-B-control-out,1314.5581035074656,1020.9082985208381,1847.6247053580646
29-B-out,1837.528697468559,1197.2574005050124,2392.32725333351
29-C-control-out,1445.421759128805,1150.1762164437903,2037.879094862532
29-C-out,1499.7242633572514,1100.9414860553618,2044.9038295780724
30-A-control-out,1760.983906210117,1310.286673976454,2380.4023578286487
30-A-out,1657.2592187503803,1443.8390185074727,2410.6972725963556
30-B-control-out,1343.1570417679388,1044.5429896794444,1894.7275003386408
30-B-out,1622.2649795211737,1360.662135561406,2318.166995868164
30-C-control-out,1630.8176562380818,1183.6503833367947,2208.4254501670794
30-C-out,1858.5562454045714,1494.2250400751448,2608.124214188746
31-A-control-out,2164.3910036206703,2043.1505954689287,3287.535531372486
31-A-out,1136.874382805728,1158.3015172741682,1808.8831025142522
31-B-control-out,1403.6061352656466,1250.3627580815917,2053.001859570267
31-B-out,1416.0400093452813,1439.9180622451793,2220.5450309133485
31-C-control-out,1127.8586937032678,1577.4063122772272,2150.99474410876
31-C-out,1239.7231358710733,1572.4831709986925,2224.6224978352443
32-A-control-out,1436.8717811485442,1989.7939803640165,2707.7570020351177
32-A-out,1396.401389906318,1963.490810569842,2659.373699613543
32-B-control-out,1359.6886855957694,1670.7162423425293,2383.7834561849504
32-B-out,1225.7310738356912,1451.379992853278,2117.8521793393907
32-C-control-out,1200.6817733551966,1360.612651365659,2018.6781174525056
32-C-out,1351.7762961973297,1806.9112647361549,2491.3203729613347
33-A-control-out,1241.0585246550813,1059.0618631189395,1812.0169767921886
33-A-out,1581.5635797197822,1397.1102077528303,2330.1961357498144
33-B-control-out,1599.8839512347924,1420.7863798005114,2353.999920779783
33-B-out,1790.3686251525423,1496.4292628819499,2539.43435535484
33-C-control-out,1261.028555987918,1107.6714425356026,1861.260784541927
33-C-out,1684.9423393810869,1300.2697983348535,2311.4138607205796
34-A-control-out,1747.177457648102,1292.5755557353075,2351.223411248308
34-A-out,1697.4740590124254,1209.1210834389094,2285.233982952223
34-B-control-out,1901.6147084933461,1382.4992743393827,2537.2779216565896
34-B-out,1313.7022512394267,1050.984444437912,1859.6271900259792
34-C-control-out,1192.0526812107366,935.9303770840289,1677.4610862588504
34-C-out,1269.5087745530798,1085.4900517057572,1865.4762590590979
35-A-control-out,1629.6377374126591,1378.692134949183,2332.9196516059937
35-A-out,2141.6231699744994,2778.5754892554887,3886.209274061515
35-B-control-out,1404.461918086209,1260.2731278009517,2098.0996339926273
35-B-out,1333.8034103001094,1212.474625846925,2004.4212968275253
35-C-control-out,1578.8678296014239,1826.534521297846,2686.9030525302737
35-C-out,1687.5915760479013,1616.1902540002638,2587.4013999075087
36-A-control-out,1889.2270366421408,1329.5049730599173,2527.351517377066
36-A-out,1828.40433082689,1388.6110630608898,2518.9946445054884
36-B-control-out,1600.4570265521754,1374.8908992969427,2342.7536500181222
36-B-out,1551.1581390361894,1223.5983513797066,2187.76988154826
36-C-control-out,1765.689348293412,1403.5218258359303,2487.6595328753133
36-C-out,1608.0273918570463,1425.479319885084,2392.999141574236
37-A-control-out,2326.91771349929,1952.7312038352632,3406.0280687769045
37-A-out,1563.9092880990308,1244.1159175369671,2220.5457912254487
37-B-control-out,1616.264729585428,1202.2563534197316,2231.4683817070186
37-B-out,2096.191947379144,1581.3773384029873,2850.856392022901
37-C-control-out,1611.0214695468212,1131.1351347749658,2173.8287408076067
37-C-out,1462.8242984059416,1149.184982091891,2067.5757676129615
38-A-control-out,1174.724077508195,1178.9080591391653,1865.9967177652109
38-A-out,1427.4200794377987,1231.633621026212,2087.7730195794493
38-B-control-out,1512.8581260356218,1247.7481072801052,2145.5938195883846
38-B-out,1579.778166573204,1232.8983243185812,2211.873243581105
38-C-control-out,1622.2051959033145,1371.015056017507,2309.5864660678358
38-C-out,1458.9753345183817,1254.3898412161604,2115.153352160855
